country,monument,photos_monuments,food,photos_food
Japan,Fushimi Inari-taisha ,https://mcalp.fr/wp-content/uploads/2016/07/Fushimi-Inari-taisha-Kyoto-Japon-42.jpg, Sushi, https://upload.wikimedia.org/wikipedia/commons/4/42/Wikimania_Sushi.jpg
Japan,Golden Pavilion Temple ,https://c2.staticflickr.com/8/7366/13303581443_eea36cb71a_b.jpg, Ramen Soba Udon, https://1.bp.blogspot.com/-n5a3SS_lzH8/XHQfxwIMPxI/AAAAAAABGFs/zYP0MOCLh3gXu0gd_sdxMYzh1grc-yDlwCLcBGAs/s1600/DSC_0046.JPG
Japan,Kiyomizu-dera temple ,https://c2.staticflickr.com/6/5205/5293410017_2eb5018927_b.jpg, miso soup, https://i0.wp.com/www.angsarap.net/wp-content/uploads/2019/10/Oyster-Mushroom-Miso-Soup-Wide.jpg?ssl=1
Japan,Senso-ji Temple ,http://muza-chan.net/aj/poze-weblog5/hozomon-senso-ji-temple-night-big.jpg, Tempura, https://www.angsarap.net/wp-content/uploads/2014/12/Tempura-Wide.jpg
Japan,Dotombori District,http://muza-chan.net/aj/poze-weblog3/dotonbori-canal-namba-big.jpg, Onigri,https://sushipoint.it/wp-content/uploads/2018/08/onigiri.png
France,Versaille Castle ,http://www.historylines.net/img/versailles/versailles_water_terrace.jpg, Foie gras,http://upload.wikimedia.org/wikipedia/commons/3/37/Foie_gras_IMGP2356.jpg
France,Eiffel Tower ,https://upload.wikimedia.org/wikipedia/commons/7/72/Tour_Eiffel%2C_Paris%2C_France.JPG, Oysters,https://foto.wuestenigel.com/wp-content/uploads/api/raw-oysters-on-a-white-plate-with-half-a-lime-top-view.jpeg
France,Arc de Triomphe,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Arc_de_Triomphe%2C_Paris_21_October_2010.jpg/1200px-Arc_de_Triomphe%2C_Paris_21_October_2010.jpg, Cassoulet,http://4.bp.blogspot.com/-enwdn_OlcEk/UzvYZ4LrUTI/AAAAAAAAVpI/_41cWrfOjsM/s1600/present.jpg
France,"inner city (rampart) of Saint-Malo, ",https://upload.wikimedia.org/wikipedia/commons/9/92/Saint-Malo_-_ch%C3%A2teau_depuis_le_Sillon.jpg, Basque Chicken,http://farm6.staticflickr.com/5061/5685033912_b25d72302c_z.jpg
France,Louvre Museum,http://upload.wikimedia.org/wikipedia/commons/6/66/Louvre_Museum_Wikimedia_Commons.jpg, Snails with parsley butter, https://upload.wikimedia.org/wikipedia/commons/f/fe/Cooked_snails.JPG
United States,Liberty Statue ,https://upload.wikimedia.org/wikipedia/commons/d/d3/Statue_of_Liberty%2C_NY.jpg, Pancakes with maple syrup, https://media.fshoq.com/images/199/pancakes-with-maple-syrup-and-raspberries-199-small.jpg
United States,National Mall,https://i.stack.imgur.com/swYdY.jpg, Huevos Rancheros, http://www.gastrolabio.it/wordpress/wp-content/uploads/2014/08/huevos-rancheros-.jpg
United States,Hollywood,http://upload.wikimedia.org/wikipedia/commons/0/0a/Hollywood_Sign_PB050006.jpg, Bagels, https://pngimg.com/uploads/bagel/bagel_PNG93.png
United States,Route 66,https://wikitravel.org/upload/shared/thumb/b/bd/Route_66_sign.jpg/600px-Route_66_sign.jpg, Louisiana okra, https://slicesofbluesky.com/wp-content/uploads/2006/08/Okra-IMG_6940.jpg
United States,Golden Gate,http://brewminate.com/wp-content/uploads/2017/05/052617-26.jpg, Chili con carne, https://foto.wuestenigel.com/wp-content/uploads/api/chili-con-carne.jpeg
South Korea,Gyeongbokgung, https://en.wikipedia.org/wiki/File:%EA%B2%BD%EB%B3%B5%EA%B6%81_%EC%A0%84%EA%B2%BD.jpg, Bibimbap, https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Dolsot-bibimbap.jpg/1200px-Dolsot-bibimbap.jpg
South Korea,N Seoul Tower,https://live.staticflickr.com/3209/3058041305_3ff6b569a9_b.jpg, Naengmyeon, http://upload.wikimedia.org/wikipedia/commons/4/48/Korean.food-Hoe.naengmyeon-01.jpg
South Korea,Changdeokgung Palace,https://global-geography.org/attach/Geography/Asia/Korea%2C_South/Pictures/Seoul/Changdeok_Palast_2/B59_Changdeok_Palast_Changdeok_Palast.jpg, Gimbap,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Vegetable_gimbap.jpg/1200px-Vegetable_gimbap.jpg
South Korea,Insadong,https://c1.staticflickr.com/9/8364/8322882409_cfa2c926d6_b.jpg, Modeumjeon,https://cdn.generationvoyage.fr/2015/06/modeumjeon-755x504.jpg.webp
South Korea,Bukchon,https://live.staticflickr.com/4814/33004854918_842f17014a_b.jpg, Octopus,https://c2.staticflickr.com/6/5150/5746351499_41e1bf1f08_b.jpg
China,Great Wall of China,http://curiouscatontherun.files.wordpress.com/2013/09/wall-18.jpg, Imperial Chicken, https://www.foodista.com/sites/default/files/styles/featured/public/field/image/8531551483_3f5bc8f370_o.jpg
China,Forbidden City,https://c2.staticflickr.com/8/7175/6667341897_28cc8beecf_b.jpg, Tofu Ma Po, https://minikinkitchen.com/wp-content/uploads/2015/02/ma-po-tofu.jpg
